review_id,employee_id,review_year,kpi_score,productivity_score,attendance_score,leadership_score,teamwork_score,final_performance_score,performance_category
1,1001,2022,95.5,95.9,87.0,83.2,98.5,92.5,Outstanding
2,1001,2023,82.0,80.5,78.4,83.9,84.3,81.6,Meets
3,1001,2024,76.3,80.9,80.1,69.7,73.0,76.5,Meets
4,1002,2022,94.3,100.0,96.6,88.8,98.4,95.7,Outstanding
5,1002,2023,79.2,77.5,78.6,87.3,81.9,80.4,Meets
6,1002,2024,81.6,81.6,85.4,86.6,90.7,84.5,Meets
7,1003,2022,81.4,82.3,74.4,77.3,84.9,80.1,Meets
8,1003,2023,78.8,80.8,91.2,80.6,79.1,82.0,Meets
9,1003,2024,90.8,88.8,98.7,83.1,85.9,90.1,Outstanding
10,1004,2022,72.0,64.3,75.5,63.1,64.0,68.6,Needs Improvement
11,1004,2023,74.7,72.2,66.0,60.8,64.1,68.8,Needs Improvement
12,1004,2024,68.1,66.1,69.4,65.1,70.3,67.8,Needs Improvement
13,1005,2022,81.1,85.9,77.2,84.9,82.3,82.0,Meets
14,1005,2023,84.2,75.1,87.9,79.3,83.2,82.2,Meets
15,1005,2024,79.8,72.3,81.4,71.4,73.6,76.4,Meets
16,1006,2022,82.4,74.3,71.0,79.5,77.9,77.4,Meets
17,1006,2023,76.0,69.2,69.3,80.7,69.1,73.0,Needs Improvement
18,1006,2024,74.4,68.7,62.2,68.3,69.4,69.2,Needs Improvement
19,1007,2022,73.8,69.7,70.0,75.1,68.0,71.5,Needs Improvement
20,1007,2023,71.6,79.0,84.4,68.4,76.5,75.9,Meets
21,1007,2024,78.6,72.6,79.3,79.4,83.2,78.3,Meets
22,1008,2022,80.9,81.1,76.7,84.6,78.5,80.3,Meets
23,1008,2023,88.8,83.8,83.8,77.6,89.1,85.2,Exceeds
24,1008,2024,70.4,71.3,75.8,76.0,71.7,72.7,Needs Improvement
25,1009,2022,96.7,90.9,92.2,97.6,93.5,94.3,Outstanding
26,1009,2023,77.1,70.7,82.5,65.0,71.2,74.2,Needs Improvement
27,1009,2024,89.4,86.7,80.8,91.6,84.6,86.7,Exceeds
28,1010,2022,93.3,94.6,98.6,90.6,93.4,94.2,Outstanding
29,1010,2023,96.2,94.8,100.0,90.6,100.0,96.4,Outstanding
30,1010,2024,83.7,80.5,78.7,89.1,86.8,83.3,Meets
31,1011,2022,83.6,86.6,80.0,94.6,94.6,86.8,Exceeds
32,1011,2023,98.1,86.9,94.8,90.1,89.8,92.8,Outstanding
33,1011,2024,72.6,79.0,80.1,68.0,82.0,76.1,Meets
34,1012,2024,85.3,79.5,88.6,82.5,80.1,83.6,Meets
35,1013,2023,84.4,92.7,84.2,93.6,92.3,88.6,Exceeds
36,1013,2024,92.8,86.6,93.8,90.6,95.9,91.9,Outstanding
37,1014,2022,75.2,80.3,78.3,83.9,79.9,78.9,Meets
38,1014,2023,86.9,81.7,83.3,89.0,90.5,86.0,Exceeds
39,1014,2024,79.7,79.5,76.1,78.1,81.2,78.9,Meets
40,1015,2022,86.0,81.1,81.5,77.4,93.2,83.9,Meets
41,1015,2023,90.5,95.1,100.0,88.7,98.3,94.2,Outstanding
42,1015,2024,83.7,73.4,85.0,79.0,76.2,80.1,Meets
43,1016,2022,70.8,76.5,74.6,72.7,77.9,74.0,Needs Improvement
44,1016,2023,88.1,86.1,97.2,94.2,92.9,91.2,Outstanding
45,1016,2024,72.7,68.1,62.7,75.0,73.1,70.2,Needs Improvement
46,1017,2024,87.4,83.9,81.5,86.4,77.3,83.9,Meets
47,1018,2022,71.1,78.3,78.2,75.2,72.3,74.8,Needs Improvement
48,1018,2023,79.9,70.3,70.9,75.9,76.6,75.1,Meets
49,1018,2024,80.7,71.6,72.6,73.4,75.1,75.3,Meets
50,1019,2022,87.7,93.2,92.4,88.2,95.0,90.9,Outstanding
51,1019,2023,90.1,91.1,96.7,88.1,96.1,92.2,Outstanding
52,1019,2024,85.4,85.2,82.0,83.3,82.5,83.9,Meets
53,1020,2022,62.8,61.1,76.2,67.7,64.9,66.2,Needs Improvement
54,1020,2023,86.7,81.3,78.0,83.7,78.9,82.3,Meets
55,1020,2024,83.1,87.6,87.9,90.1,80.5,85.6,Exceeds
56,1021,2022,92.4,86.5,80.6,89.3,82.9,87.0,Exceeds
57,1021,2023,71.5,66.2,67.2,70.3,78.0,70.4,Needs Improvement
58,1021,2024,80.3,78.2,74.8,85.0,78.0,79.1,Meets
59,1023,2022,88.1,78.4,80.0,86.7,86.6,84.1,Meets
60,1023,2023,63.9,70.8,72.7,64.4,74.2,68.7,Needs Improvement
61,1023,2024,89.9,87.4,94.6,89.5,95.7,91.2,Outstanding
62,1024,2024,79.6,75.2,83.8,67.6,76.1,77.2,Meets
63,1025,2022,73.8,79.9,74.9,68.1,78.3,75.1,Meets
64,1025,2023,77.8,72.1,64.2,79.5,71.6,73.3,Needs Improvement
65,1025,2024,79.9,74.9,85.2,78.5,87.4,80.9,Meets
66,1026,2024,72.1,66.1,61.9,68.1,70.1,68.0,Needs Improvement
67,1029,2022,87.1,88.7,94.3,85.8,82.7,88.0,Exceeds
68,1029,2023,100.0,94.1,100.0,94.0,97.9,97.6,Outstanding
69,1029,2024,77.5,81.9,83.4,81.4,81.5,80.7,Meets
70,1030,2022,84.7,80.8,85.9,88.0,83.2,84.4,Meets
71,1030,2023,78.1,81.9,75.5,79.7,83.5,79.4,Meets
72,1030,2024,77.4,73.7,81.2,61.8,77.4,75.1,Meets
73,1031,2022,91.0,88.3,88.5,85.3,81.8,87.7,Exceeds
74,1031,2023,69.0,71.5,69.2,77.9,73.0,71.5,Needs Improvement
75,1031,2024,87.4,82.6,81.1,78.5,78.8,82.6,Meets
76,1033,2022,83.6,80.1,77.0,70.7,84.8,79.8,Meets
77,1033,2023,75.2,78.4,76.5,67.2,79.9,75.6,Meets
78,1033,2024,73.6,62.6,77.6,72.4,74.8,72.2,Needs Improvement
79,1034,2022,73.5,70.6,80.9,66.7,78.5,74.1,Needs Improvement
80,1034,2023,83.6,81.6,91.0,72.6,83.0,82.9,Meets
81,1034,2024,83.9,87.1,81.5,80.4,90.7,84.6,Meets
82,1035,2022,75.5,78.1,69.8,79.5,77.4,75.8,Meets
83,1035,2023,86.4,83.5,87.0,74.5,82.2,83.5,Meets
84,1035,2024,90.6,93.0,88.3,96.1,91.0,91.5,Outstanding
85,1036,2022,89.9,84.0,86.5,95.8,89.8,88.9,Exceeds
86,1036,2023,91.9,81.5,86.6,83.7,89.6,87.2,Exceeds
87,1036,2024,74.9,74.8,86.8,81.4,83.8,79.6,Meets
88,1037,2022,79.4,78.3,77.8,77.4,85.4,79.5,Meets
89,1037,2023,81.0,78.9,81.8,73.8,81.0,79.7,Meets
90,1037,2024,89.9,89.6,95.6,78.3,87.3,88.9,Exceeds
91,1039,2023,86.8,86.2,78.8,89.5,85.9,85.4,Exceeds
92,1039,2024,64.7,61.6,65.5,56.2,66.6,63.2,Needs Improvement
93,1040,2023,96.1,93.1,95.8,86.6,91.2,93.3,Outstanding
94,1040,2024,74.8,65.9,75.1,77.2,77.7,73.9,Needs Improvement
95,1041,2023,71.8,70.5,69.4,63.1,76.2,70.4,Needs Improvement
96,1041,2024,77.0,75.4,79.6,81.7,73.5,77.4,Meets
97,1044,2024,90.9,90.4,98.6,96.3,86.6,92.5,Outstanding
98,1045,2023,77.6,75.2,67.8,71.8,69.3,73.0,Needs Improvement
99,1045,2024,94.3,93.7,88.9,82.0,95.4,91.4,Outstanding
100,1046,2024,72.7,67.9,74.5,72.0,78.4,72.8,Needs Improvement
101,1047,2022,79.6,86.2,79.0,90.5,81.4,82.7,Meets
102,1047,2023,94.0,84.2,84.1,83.1,90.0,87.8,Exceeds
103,1047,2024,78.8,85.5,84.8,86.3,87.2,83.7,Meets
104,1048,2022,81.1,79.2,90.5,89.6,92.1,85.5,Exceeds
105,1048,2023,97.8,87.7,94.1,91.9,98.6,94.3,Outstanding
106,1048,2024,89.1,88.5,90.6,82.2,94.2,89.0,Exceeds
107,1049,2022,90.2,88.7,77.5,85.4,87.9,86.3,Exceeds
108,1049,2023,94.1,88.7,98.8,87.6,92.4,92.7,Outstanding
109,1049,2024,92.9,91.7,89.9,97.6,92.2,92.7,Outstanding
110,1050,2023,80.2,77.1,82.0,79.6,80.5,79.9,Meets
111,1050,2024,86.5,86.7,92.9,93.4,95.0,90.1,Outstanding
112,1051,2022,83.7,76.9,89.3,81.8,89.6,84.1,Meets
113,1051,2023,87.6,78.8,75.2,74.0,77.1,79.7,Meets
114,1051,2024,87.5,85.1,93.5,87.8,90.1,88.7,Exceeds
115,1052,2023,72.3,74.5,74.0,81.1,84.0,76.2,Meets
116,1052,2024,87.1,82.3,76.1,84.4,88.3,83.7,Meets
117,1054,2022,82.7,89.9,87.5,77.7,85.3,84.7,Meets
118,1054,2023,90.0,94.5,98.9,90.1,90.2,92.7,Outstanding
119,1054,2024,87.3,84.9,92.4,85.2,90.1,87.9,Exceeds
120,1055,2022,90.6,90.1,94.2,91.2,86.2,90.7,Outstanding
121,1055,2023,79.4,82.9,80.2,76.5,79.6,79.9,Meets
122,1055,2024,93.0,88.1,96.1,80.2,86.6,89.8,Exceeds
123,1056,2022,90.2,92.0,84.9,89.4,86.6,88.8,Exceeds
124,1056,2023,92.5,93.8,98.6,100.0,96.0,95.6,Outstanding
125,1056,2024,85.9,84.8,84.0,86.1,94.3,86.6,Exceeds
126,1057,2024,82.6,78.2,78.2,84.2,83.5,81.2,Meets
127,1058,2022,90.5,92.7,87.6,82.2,90.3,89.1,Exceeds
128,1058,2023,77.8,65.4,68.0,60.9,72.3,70.0,Needs Improvement
129,1058,2024,77.9,74.4,71.6,61.7,74.1,72.9,Needs Improvement
130,1059,2023,79.9,76.8,83.3,74.6,83.9,79.8,Meets
131,1059,2024,75.5,70.7,79.8,79.4,73.6,75.7,Meets
132,1060,2023,74.4,69.2,79.6,63.2,79.7,73.5,Needs Improvement
133,1060,2024,96.6,84.5,98.4,89.5,92.5,92.9,Outstanding
134,1062,2022,72.6,80.3,84.9,80.9,78.1,78.7,Meets
135,1062,2023,91.5,91.5,87.3,80.4,83.1,87.7,Exceeds
136,1062,2024,75.4,72.2,77.5,64.3,77.2,73.8,Needs Improvement
137,1063,2022,70.1,67.2,70.2,73.2,73.0,70.4,Needs Improvement
138,1063,2023,97.2,97.3,89.9,97.9,91.7,95.0,Outstanding
139,1063,2024,83.7,87.2,83.1,92.7,88.9,86.4,Exceeds
140,1064,2023,79.8,79.3,85.8,70.3,74.2,78.6,Meets
141,1064,2024,76.9,79.2,89.2,70.8,80.1,79.4,Meets
142,1065,2022,88.0,85.5,78.3,73.9,87.1,83.3,Meets
143,1065,2023,91.2,90.6,91.3,87.9,86.2,89.9,Exceeds
144,1065,2024,73.7,68.8,77.9,77.3,78.8,74.9,Needs Improvement
145,1066,2022,81.9,83.8,89.2,82.0,78.5,83.2,Meets
146,1066,2023,100.0,98.9,100.0,100.0,98.1,99.5,Outstanding
147,1066,2024,94.1,100.0,98.4,90.4,100.0,96.5,Outstanding
148,1068,2022,83.5,86.8,80.2,94.1,89.8,86.0,Exceeds
149,1068,2023,82.9,78.2,85.5,87.2,84.3,83.3,Meets
150,1068,2024,70.1,71.9,69.5,68.6,76.9,71.1,Needs Improvement
151,1069,2022,92.9,89.1,93.1,82.7,95.9,91.1,Outstanding
152,1069,2023,82.0,89.6,85.9,80.7,91.2,85.5,Exceeds
153,1069,2024,78.1,70.5,74.4,76.9,80.9,76.1,Meets
154,1070,2024,81.2,83.3,88.8,92.2,91.6,86.3,Exceeds
155,1071,2022,79.0,79.9,89.6,87.8,78.2,82.5,Meets
156,1071,2023,82.2,77.1,69.9,66.7,77.3,75.7,Meets
157,1071,2024,77.4,73.1,86.2,80.5,75.4,78.5,Meets
158,1072,2022,75.6,78.8,77.7,78.1,74.4,76.9,Meets
159,1072,2023,99.8,96.1,88.4,93.2,93.2,94.8,Outstanding
160,1072,2024,86.5,77.4,90.6,77.5,83.1,83.6,Meets
161,1073,2022,75.0,68.4,70.2,64.2,77.8,71.5,Needs Improvement
162,1073,2023,76.6,72.9,70.5,64.1,80.5,73.4,Needs Improvement
163,1073,2024,97.5,91.0,92.7,99.0,93.9,94.9,Outstanding
164,1074,2022,82.9,69.5,70.1,82.7,79.3,77.1,Meets
165,1074,2023,76.2,76.1,78.6,80.1,72.8,76.7,Meets
166,1074,2024,74.2,71.4,80.6,82.7,81.9,77.4,Meets
167,1075,2022,81.7,79.8,81.8,75.9,85.1,81.0,Meets
168,1075,2023,82.3,85.4,78.2,86.0,79.6,82.2,Meets
169,1075,2024,98.3,90.3,86.9,88.6,100.0,93.2,Outstanding
170,1079,2022,79.7,75.1,85.0,72.4,74.5,78.0,Meets
171,1079,2023,71.5,69.8,70.5,68.5,63.0,69.2,Needs Improvement
172,1079,2024,80.8,73.7,77.5,68.7,77.6,76.4,Meets
173,1080,2022,83.7,81.0,81.2,90.1,85.7,83.9,Meets
174,1080,2023,80.3,78.8,88.0,73.5,79.5,80.4,Meets
175,1080,2024,71.7,73.2,68.9,80.1,72.6,72.8,Needs Improvement
176,1081,2022,77.2,69.4,73.9,79.8,82.0,76.1,Meets
177,1081,2023,99.0,91.8,100.0,88.2,95.3,95.6,Outstanding
178,1081,2024,82.7,79.2,89.5,79.2,79.2,82.3,Meets
