training_id,employee_id,training_name,training_category,training_date,training_score,certification_status
1,1002,Leading Through Change,Leadership,2024-08-04,81.0,Certified
2,1003,Negotiation Skills,Soft Skills,2025-02-22,92.4,Certified
3,1003,HR Business Partnering,Leadership,2023-07-03,86.4,Certified
4,1004,Time Management,Soft Skills,2025-07-09,71.6,Certified
5,1004,HR Business Partnering,Leadership,2023-05-06,78.8,Certified
6,1004,Coaching for Managers,Leadership,2023-10-07,85.5,In Progress
7,1004,Data Visualization with BI Tools,Technical,2025-07-12,82.2,Certified
8,1005,Coaching for Managers,Leadership,2023-07-02,70.5,Certified
9,1006,Data Privacy Essentials,Compliance,2023-08-08,81.7,Certified
10,1006,Anti-Bribery & Compliance,Compliance,2024-01-19,94.9,In Progress
11,1006,Cloud Architecture Fundamentals,Technical,2024-01-04,83.0,Certified
12,1007,Advanced System Design,Technical,2024-04-20,71.7,Certified
13,1008,Machine Learning Operations,Technical,2025-03-27,69.0,Not Certified
14,1008,HR Business Partnering,Leadership,2025-05-27,96.1,Certified
15,1009,Workplace Safety,Compliance,2023-02-19,87.4,Certified
16,1010,Anti-Bribery & Compliance,Compliance,2023-09-24,93.0,Certified
17,1010,Data Privacy Essentials,Compliance,2023-01-27,79.6,Certified
18,1011,Machine Learning Operations,Technical,2025-09-30,86.7,In Progress
19,1011,Cloud Architecture Fundamentals,Technical,2024-07-01,76.0,In Progress
20,1011,HR Business Partnering,Leadership,2025-08-20,99.0,In Progress
21,1012,Data Visualization with BI Tools,Technical,2025-08-01,81.2,Certified
22,1013,Coaching for Managers,Leadership,2024-03-11,58.3,Not Certified
23,1014,Effective Communication,Soft Skills,2025-04-08,72.1,In Progress
24,1014,Workplace Safety,Compliance,2023-09-06,90.2,In Progress
25,1016,HR Business Partnering,Leadership,2024-06-15,85.3,Certified
26,1016,Workplace Safety,Compliance,2024-09-04,78.9,In Progress
27,1016,Machine Learning Operations,Technical,2023-12-13,92.8,In Progress
28,1019,Anti-Bribery & Compliance,Compliance,2023-04-15,78.9,Certified
29,1019,Machine Learning Operations,Technical,2023-05-23,85.7,Certified
30,1019,Leading Through Change,Leadership,2023-03-25,85.0,Certified
31,1019,Workplace Safety,Compliance,2025-02-18,81.6,Certified
32,1021,Anti-Bribery & Compliance,Compliance,2025-03-19,82.2,In Progress
33,1021,Cloud Architecture Fundamentals,Technical,2024-10-16,97.9,Certified
34,1021,Data Privacy Essentials,Compliance,2023-04-26,81.5,Certified
35,1021,Workplace Safety,Compliance,2025-06-28,84.5,In Progress
36,1021,Effective Communication,Soft Skills,2023-09-28,80.7,Certified
37,1022,Workplace Safety,Compliance,2024-09-25,83.4,In Progress
38,1022,Data Privacy Essentials,Compliance,2025-02-20,83.7,In Progress
39,1022,HR Business Partnering,Leadership,2024-06-01,74.0,In Progress
40,1023,Cloud Architecture Fundamentals,Technical,2023-10-20,89.4,Certified
41,1023,Advanced System Design,Technical,2023-09-21,95.2,Certified
42,1023,Time Management,Soft Skills,2023-01-15,89.8,In Progress
43,1023,Negotiation Skills,Soft Skills,2023-06-23,78.4,In Progress
44,1024,Presentation Mastery,Soft Skills,2023-03-11,77.6,In Progress
45,1025,Leading Through Change,Leadership,2025-01-27,88.0,Certified
46,1025,Workplace Safety,Compliance,2024-04-12,92.9,Certified
47,1025,Presentation Mastery,Soft Skills,2023-08-07,93.6,In Progress
48,1026,Anti-Bribery & Compliance,Compliance,2024-08-30,80.2,Certified
49,1026,Effective Communication,Soft Skills,2024-05-04,82.9,In Progress
50,1026,Workplace Safety,Compliance,2024-11-06,89.2,In Progress
51,1026,Data Privacy Essentials,Compliance,2024-02-04,86.9,Certified
52,1027,Advanced System Design,Technical,2025-01-07,71.7,Certified
53,1027,Anti-Bribery & Compliance,Compliance,2024-09-11,80.4,Certified
54,1028,Negotiation Skills,Soft Skills,2023-11-21,80.4,Certified
55,1030,Presentation Mastery,Soft Skills,2023-12-16,82.3,Certified
56,1031,Coaching for Managers,Leadership,2025-02-24,84.7,Certified
57,1031,Effective Communication,Soft Skills,2024-03-11,74.2,In Progress
58,1031,Advanced System Design,Technical,2025-05-25,79.4,Certified
59,1031,Cloud Architecture Fundamentals,Technical,2024-11-23,77.9,Certified
60,1031,Data Privacy Essentials,Compliance,2025-07-17,78.3,In Progress
61,1032,Advanced System Design,Technical,2023-05-13,84.9,Certified
62,1032,Anti-Bribery & Compliance,Compliance,2023-06-19,83.8,In Progress
63,1032,Leading Through Change,Leadership,2025-07-25,77.9,Certified
64,1032,Machine Learning Operations,Technical,2024-06-23,75.3,Certified
65,1032,Cloud Architecture Fundamentals,Technical,2023-12-20,95.9,Certified
66,1033,Advanced System Design,Technical,2023-11-26,84.0,Certified
67,1033,Data Privacy Essentials,Compliance,2025-03-31,77.1,Certified
68,1033,Leading Through Change,Leadership,2024-10-18,85.3,Certified
69,1034,Time Management,Soft Skills,2023-02-08,69.6,In Progress
70,1035,Effective Communication,Soft Skills,2024-04-14,85.8,Certified
71,1035,Coaching for Managers,Leadership,2024-07-27,89.3,Certified
72,1035,Negotiation Skills,Soft Skills,2025-01-14,76.4,Certified
73,1035,Leading Through Change,Leadership,2023-06-24,86.1,Certified
74,1036,Leading Through Change,Leadership,2024-03-05,79.8,Certified
75,1037,Workplace Safety,Compliance,2025-03-02,93.1,Certified
76,1037,Negotiation Skills,Soft Skills,2025-05-22,85.7,Certified
77,1038,Anti-Bribery & Compliance,Compliance,2024-09-28,72.4,Certified
78,1039,Negotiation Skills,Soft Skills,2023-12-02,76.0,In Progress
79,1040,Data Visualization with BI Tools,Technical,2023-05-26,69.9,Not Certified
80,1040,Time Management,Soft Skills,2025-04-19,82.3,Certified
81,1040,Workplace Safety,Compliance,2023-02-08,83.6,Certified
82,1040,Coaching for Managers,Leadership,2023-01-01,91.5,In Progress
83,1042,Machine Learning Operations,Technical,2023-10-17,75.0,Certified
84,1043,Workplace Safety,Compliance,2024-04-26,92.6,Certified
85,1044,Data Visualization with BI Tools,Technical,2024-01-20,99.0,In Progress
86,1044,Effective Communication,Soft Skills,2023-12-08,92.6,Certified
87,1044,Data Privacy Essentials,Compliance,2023-11-16,85.5,Certified
88,1044,Leading Through Change,Leadership,2025-01-10,87.5,Certified
89,1045,Cloud Architecture Fundamentals,Technical,2023-01-23,80.7,Certified
90,1045,Advanced System Design,Technical,2025-03-20,91.5,In Progress
91,1046,HR Business Partnering,Leadership,2024-06-22,84.4,In Progress
92,1047,Anti-Bribery & Compliance,Compliance,2024-10-28,79.9,Certified
93,1047,Cloud Architecture Fundamentals,Technical,2024-11-05,76.5,Certified
94,1048,Data Privacy Essentials,Compliance,2023-10-21,87.0,Certified
95,1049,Workplace Safety,Compliance,2023-02-19,85.1,In Progress
96,1050,Data Visualization with BI Tools,Technical,2023-10-26,83.4,Certified
97,1050,Effective Communication,Soft Skills,2023-09-13,80.1,Certified
98,1050,Negotiation Skills,Soft Skills,2024-10-30,91.6,In Progress
99,1050,Presentation Mastery,Soft Skills,2024-11-24,84.8,Certified
100,1050,Advanced System Design,Technical,2024-10-07,74.0,Certified
101,1051,Data Visualization with BI Tools,Technical,2025-01-18,72.0,Certified
102,1051,Machine Learning Operations,Technical,2024-12-01,83.8,Certified
103,1051,Presentation Mastery,Soft Skills,2025-08-10,83.7,Certified
104,1052,Effective Communication,Soft Skills,2024-05-25,80.9,In Progress
105,1052,Presentation Mastery,Soft Skills,2023-09-03,95.0,In Progress
106,1053,Leading Through Change,Leadership,2024-01-01,76.8,Certified
107,1053,Time Management,Soft Skills,2023-08-02,77.8,Certified
108,1053,Anti-Bribery & Compliance,Compliance,2025-07-10,87.8,Certified
109,1053,Coaching for Managers,Leadership,2025-04-05,85.8,Certified
110,1054,HR Business Partnering,Leadership,2025-07-12,81.1,Certified
111,1054,Data Visualization with BI Tools,Technical,2024-08-10,89.5,Certified
112,1054,Leading Through Change,Leadership,2024-01-16,84.4,Certified
113,1054,Machine Learning Operations,Technical,2023-07-16,86.1,Certified
114,1055,Data Visualization with BI Tools,Technical,2024-01-09,96.3,Certified
115,1055,Negotiation Skills,Soft Skills,2025-09-24,72.1,Certified
116,1055,Machine Learning Operations,Technical,2023-12-11,61.4,In Progress
117,1056,Advanced System Design,Technical,2023-05-22,85.8,In Progress
118,1056,Anti-Bribery & Compliance,Compliance,2023-01-15,86.8,In Progress
119,1056,Presentation Mastery,Soft Skills,2023-11-24,77.1,Certified
120,1057,Machine Learning Operations,Technical,2025-04-14,86.3,Certified
121,1057,Effective Communication,Soft Skills,2025-08-12,73.4,Certified
122,1057,HR Business Partnering,Leadership,2025-09-09,81.6,In Progress
123,1058,Data Visualization with BI Tools,Technical,2024-04-09,81.4,Certified
124,1059,Presentation Mastery,Soft Skills,2023-02-25,75.9,Certified
125,1059,Workplace Safety,Compliance,2024-08-03,85.0,In Progress
126,1059,Anti-Bribery & Compliance,Compliance,2025-04-24,87.8,Certified
127,1060,Cloud Architecture Fundamentals,Technical,2025-01-28,83.0,Certified
128,1060,Leading Through Change,Leadership,2024-06-03,83.8,Certified
129,1061,Anti-Bribery & Compliance,Compliance,2024-06-27,87.3,Certified
130,1061,Presentation Mastery,Soft Skills,2024-08-28,90.5,Certified
131,1061,Machine Learning Operations,Technical,2025-04-30,74.8,Certified
132,1062,Machine Learning Operations,Technical,2024-10-01,68.9,In Progress
133,1062,Coaching for Managers,Leadership,2023-11-18,70.4,Certified
134,1062,Negotiation Skills,Soft Skills,2024-11-03,75.4,In Progress
135,1063,HR Business Partnering,Leadership,2023-09-22,82.8,Certified
136,1063,Coaching for Managers,Leadership,2025-09-18,92.6,Certified
137,1063,Presentation Mastery,Soft Skills,2025-09-28,77.3,Certified
138,1063,Leading Through Change,Leadership,2024-05-22,86.9,In Progress
139,1063,Cloud Architecture Fundamentals,Technical,2025-06-30,75.0,In Progress
140,1066,Time Management,Soft Skills,2025-02-21,80.3,Certified
141,1066,Anti-Bribery & Compliance,Compliance,2024-01-20,98.3,Certified
142,1066,Workplace Safety,Compliance,2025-08-19,86.7,In Progress
143,1068,Negotiation Skills,Soft Skills,2025-07-14,89.1,Certified
144,1068,Time Management,Soft Skills,2025-01-30,91.0,Certified
145,1068,Data Visualization with BI Tools,Technical,2023-02-28,88.6,Certified
146,1068,Coaching for Managers,Leadership,2024-11-13,88.8,Certified
147,1068,Anti-Bribery & Compliance,Compliance,2025-04-28,90.1,Certified
148,1069,Data Visualization with BI Tools,Technical,2023-02-13,86.3,In Progress
149,1069,HR Business Partnering,Leadership,2023-08-15,80.2,Certified
150,1069,Effective Communication,Soft Skills,2023-01-13,78.7,Certified
151,1070,Workplace Safety,Compliance,2025-06-25,86.2,In Progress
152,1070,Presentation Mastery,Soft Skills,2023-12-25,69.5,In Progress
153,1070,Cloud Architecture Fundamentals,Technical,2023-12-20,66.7,In Progress
154,1071,Cloud Architecture Fundamentals,Technical,2025-06-09,83.8,Certified
155,1072,Data Privacy Essentials,Compliance,2025-07-31,82.3,Certified
156,1074,Advanced System Design,Technical,2024-06-17,72.7,In Progress
157,1074,Coaching for Managers,Leadership,2025-01-30,84.8,Certified
