attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_days,leave_days,attendance_rate
1,1001,2024-06-01,21,19,0,2,2,90.48
2,1001,2024-07-01,23,23,0,2,0,100.0
3,1001,2024-08-01,20,20,0,3,0,100.0
4,1001,2024-09-01,21,20,0,0,1,95.24
5,1001,2024-10-01,22,21,0,3,1,95.45
6,1001,2024-11-01,21,19,1,3,1,90.48
7,1002,2024-06-01,22,22,0,4,0,100.0
8,1002,2024-07-01,21,21,0,4,0,100.0
9,1002,2024-08-01,20,20,0,0,0,100.0
10,1002,2024-09-01,20,19,1,2,0,95.0
11,1002,2024-10-01,23,21,2,4,0,91.3
12,1002,2024-11-01,20,20,0,1,0,100.0
13,1003,2024-06-01,21,20,0,3,1,95.24
14,1003,2024-07-01,22,22,0,4,0,100.0
15,1003,2024-08-01,21,20,0,2,1,95.24
16,1003,2024-09-01,23,22,0,1,1,95.65
17,1003,2024-10-01,22,20,1,3,1,90.91
18,1003,2024-11-01,22,16,5,2,1,72.73
19,1004,2024-06-01,23,21,1,2,1,91.3
20,1004,2024-07-01,23,23,0,0,0,100.0
21,1004,2024-08-01,21,20,0,2,1,95.24
22,1004,2024-09-01,22,22,0,3,0,100.0
23,1004,2024-10-01,22,21,0,4,1,95.45
24,1004,2024-11-01,22,22,0,0,0,100.0
25,1005,2024-06-01,22,21,0,3,1,95.45
26,1005,2024-07-01,21,20,1,3,0,95.24
27,1005,2024-08-01,22,22,0,0,0,100.0
28,1005,2024-09-01,23,23,0,3,0,100.0
29,1005,2024-10-01,22,21,0,4,1,95.45
30,1005,2024-11-01,22,20,0,0,2,90.91
31,1006,2024-06-01,21,19,2,2,0,90.48
32,1006,2024-07-01,20,18,1,3,1,90.0
33,1006,2024-08-01,20,20,0,3,0,100.0
34,1006,2024-09-01,23,22,0,1,1,95.65
35,1006,2024-10-01,23,18,3,4,2,78.26
36,1006,2024-11-01,20,18,1,4,1,90.0
37,1007,2024-06-01,21,20,1,3,0,95.24
38,1007,2024-07-01,22,20,2,2,0,90.91
39,1007,2024-08-01,23,21,0,4,2,91.3
40,1007,2024-09-01,21,20,1,3,0,95.24
41,1007,2024-10-01,20,18,0,3,2,90.0
42,1007,2024-11-01,23,21,1,4,1,91.3
43,1008,2024-06-01,20,20,0,4,0,100.0
44,1008,2024-07-01,23,23,0,0,0,100.0
45,1008,2024-08-01,23,21,2,0,0,91.3
46,1008,2024-09-01,22,22,0,3,0,100.0
47,1008,2024-10-01,20,18,1,2,1,90.0
48,1008,2024-11-01,20,18,0,2,2,90.0
49,1009,2024-06-01,22,20,1,3,1,90.91
50,1009,2024-07-01,22,22,0,1,0,100.0
51,1009,2024-08-01,23,23,0,3,0,100.0
52,1009,2024-09-01,21,21,0,4,0,100.0
53,1009,2024-10-01,21,20,1,1,0,95.24
54,1009,2024-11-01,21,20,0,4,1,95.24
55,1010,2024-06-01,21,20,0,4,1,95.24
56,1010,2024-07-01,20,20,0,2,0,100.0
57,1010,2024-08-01,22,22,0,3,0,100.0
58,1010,2024-09-01,21,20,0,1,1,95.24
59,1010,2024-10-01,22,21,0,1,1,95.45
60,1010,2024-11-01,23,22,0,0,1,95.65
61,1011,2024-06-01,21,20,0,0,1,95.24
62,1011,2024-07-01,21,21,0,3,0,100.0
63,1011,2024-08-01,20,19,0,1,1,95.0
64,1011,2024-09-01,22,22,0,3,0,100.0
65,1011,2024-10-01,20,18,1,1,1,90.0
66,1011,2024-11-01,21,20,0,0,1,95.24
67,1012,2024-06-01,23,21,0,3,2,91.3
68,1012,2024-07-01,20,19,1,0,0,95.0
69,1012,2024-08-01,22,22,0,1,0,100.0
70,1012,2024-09-01,22,22,0,1,0,100.0
71,1012,2024-10-01,21,19,1,0,1,90.48
